Date,Time,P,OP,Delta_P,Delta_OP
2022-06-29,11:56:00,682.0,613.0,,
2022-06-30,12:14:40,688.0,618.0,6.0,5.0
2022-07-01,12:33:20,695.0,623.0,7.0,5.0
2022-07-02,12:52:00,702.0,628.0,7.0,5.0
2022-07-03,13:23:30,707.0,635.0,5.0,7.0
2022-07-04,13:55:00,712.0,642.0,5.0,7.0
2022-07-05,14:34:00,717.0,646.0,5.0,4.0
2022-07-06,15:42:00,722.0,650.5,5.0,4.5
2022-07-07,16:50:00,727.0,655.0,5.0,4.5
2022-07-08,16:59:00,731.5,660.0,4.5,5.0
2022-07-09,17:08:00,736.0,665.0,4.5,5.0
2022-07-10,17:17:00,740.5,670.0,4.5,5.0
2022-07-11,17:26:00,745.0,675.0,4.5,5.0
2022-07-12,16:00:00,750.0,680.0,5.0,5.0
2022-07-13,15:52:09,754.43,684.29,4.42999999999995,4.289999999999964
2022-07-14,15:44:17,758.86,688.58,4.430000000000064,4.290000000000077
2022-07-15,15:36:26,763.29,692.87,4.42999999999995,4.289999999999964
2022-07-16,15:28:34,767.72,697.16,4.430000000000064,4.289999999999964
2022-07-17,15:20:43,772.15,701.45,4.42999999999995,4.290000000000077
2022-07-18,15:12:51,776.58,705.74,4.430000000000064,4.289999999999964
2022-07-19,15:05:00,781.0,710.0,4.419999999999959,4.259999999999991
2022-07-20,15:19:15,786.25,714.0,5.25,4.0
2022-07-21,15:33:30,791.5,718.0,5.25,4.0
2022-07-22,15:47:45,796.75,722.0,5.25,4.0
2022-07-23,16:02:00,802.0,726.0,5.25,4.0
2022-07-24,15:19:00,806.3333333,730.6666667,4.333333300000049,4.666666699999951
2022-07-25,14:36:00,810.6666667,735.3333333,4.333333399999901,4.666666600000099
2022-07-26,13:53:00,815.0,740.0,4.333333300000049,4.666666699999951
2022-07-27,14:40:00,819.0,744.5,4.0,4.5
2022-07-28,15:27:00,823.0,749.0,4.0,4.5
2022-07-29,19:38:00,828.0,752.0,5.0,3.0
2022-07-30,17:47:00,832.0,753.0,4.0,1.0
2022-07-31,13:26:00,834.0,759.0,2.0,6.0
2022-08-01,20:54:00,841.0,763.0,7.0,4.0
2022-08-02,18:51:00,844.5,767.5,3.5,4.5
2022-08-03,16:48:00,848.0,772.0,3.5,4.5
2022-08-04,13:54:00,851.0,776.0,3.0,4.0
2022-08-05,11:00:00,854.0,780.0,3.0,4.0
2022-08-06,14:56:00,859.0,784.0,5.0,4.0
2022-08-07,16:04:15,863.25,789.0,4.25,5.0
2022-08-08,17:12:30,867.5,794.0,4.25,5.0
2022-08-09,18:20:45,871.75,799.0,4.25,5.0
2022-08-10,19:29:00,876.0,804.0,4.25,5.0
